wavelength_nm,Re_eps_parallel_nominal_design,Im_eps_parallel_nominal_design,Re_eps_perpendicular_nominal_design,Im_eps_perpendicular_nominal_design,real_part_product_nominal_design,Re_eps_parallel_secondary_sensitivity,Im_eps_parallel_secondary_sensitivity,Re_eps_perpendicular_secondary_sensitivity,Im_eps_perpendicular_secondary_sensitivity,real_part_product_secondary_sensitivity
375.306824,-3.645218585869001,2.58135158736,6.365160235612656,0.4926286215329003,-23.202400392889565,-4.970340104252326,3.0806750257995463,7.8320647352359085,0.896418652587964,-38.92802545264341
376.891144,-3.6914371836299997,2.5951988034225,6.356139302671728,0.4862339524372097,-23.463288966214474,-5.0253023018855805,3.097200776460355,7.81770672138915,0.8838902228540082,-39.28633958246327
378.475464,-3.7377814081206675,2.6091435408508334,6.347194429083154,0.4799696783163661,-23.724425330754087,-5.080414458043439,3.113842912520842,7.803469530263347,0.8716316492412454,-39.64485942445135
380.059784,-3.7842437072185833,2.6231695683500003,6.33834417346639,0.47383382770322163,-23.98583905262576,-5.135668944345568,3.130582062987382,7.789379278566284,0.8596388381313217,-40.00367325666175
381.644135,-3.8307587556510008,2.6372586294600002,6.3298579701641815,0.46786059243481704,-24.24815884123371,-5.191010640995831,3.147396439963798,7.7757859677018875,0.8479771384072741,-40.364187700446564
383.228516,-3.8774063843777506,2.6514023810000005,6.321442362105763,0.46200088628622565,-24.510800973304857,-5.246509895094414,3.1642760864070607,7.762310740245994,0.836551614163844,-40.72504010749825
384.812897,-3.924178986692251,2.665583873636667,6.313115409438032,0.4562531731887251,-24.77379483027977,-5.302159012832054,3.1812007743915514,7.7489785915337395,0.8253590100381692,-41.086316679343255
386.39727800000003,-3.971089723935416,2.6797957883175,6.304867955517926,0.45061124908883654,-25.037196348926933,-5.357973009214458,3.198161769104718,7.735777962688855,0.8143869182503384,-41.448089529362896
387.981689,-4.018138395460583,2.6940214537400005,6.2967012420853985,0.4450710887379496,-25.30101702556768,-5.413951644782895,3.2151391744326365,7.722711742735298,0.8036273237775488,-41.81038794176594
389.566101,-4.065339041124583,2.7082499717000004,6.2886064490934075,0.4396265366304391,-25.56531731176726,-5.470110983472779,3.232119984078308,7.709768899011624,0.793068049328576,-42.17329153452032
391.150574,-4.112694970111418,2.722476024079167,6.28059846709199,0.4342761674989876,-25.830185724898712,-5.526456358114206,3.24909785121381,7.696968550498355,0.7827057964951806,-42.536960784106725
392.734985,-4.160214719157334,2.7366837631700003,6.2726695240114445,0.42901453388775396,-26.095652082202044,-5.58299726493097,3.26605386263222,7.684301409356712,0.7725298723077985,-42.901433751343724
394.319458,-4.2079120011455835,2.7508650226199998,6.264810374391809,0.4238364249163772,-26.361770759304648,-5.6397493779238665,3.2829782723236085,7.671755482698501,0.7625298882378867,-43.26677821113288
395.903931,-4.255791161952751,2.7650107959858334,6.257036102159601,0.4187404229015689,-26.628638943590122,-5.696719266573963,3.2998603316843456,7.65935016416122,0.7527026903564272,-43.63316764961366
397.488403,-4.303871562031417,2.7791133483058332,6.249329120279273,0.4137202153706736,-26.896309882544777,-5.7539286535518315,3.316690809541369,7.647062517388974,0.7430358459091564,-44.00065213430662
399.072906,-4.352164429479,2.7931648120799997,6.2417037318255675,0.4087739561012974,-27.164920960997566,-5.811392321437947,3.3334603165457497,7.634910547166466,0.7335254191347089,-44.369460528668796
400.65741,-4.400655831189,2.8071557717,6.23424613894307,0.4039098137491106,-27.43477162440733,-5.8691012432635485,3.3501576157820714,7.623004665168381,0.7241864124188032,-44.74018615774357
402.241913,-4.44935773335475,2.8210795030458335,6.226993039958927,0.3991280784829479,-27.706119637887458,-5.927073151472912,3.366774682450979,7.6113909706026295,0.715018859779418,-45.11327106722219
403.826477,-4.4983294956185835,2.834929862425,6.219814811403235,0.3944075711809812,-27.97877642342051,-5.98536782940781,3.3833041844555414,7.599902276625444,0.7059823141707233,-45.488210593157106
405.41098,-4.5475916173797515,2.8486984490883334,6.212694155706708,0.389743008812151,-28.252795863836,-6.04400835991051,3.3997360960486724,7.588515985116047,0.6970664515894389,-45.86505405335593
